name,E,N
GKI,305038.464,9947521.458
IRUR,281088.24,9933638.851
ITUN,297857.26,9954209.968
KAGU,308925.831,9935247.867
KANG,295429.175,9944400.475
KARA,291733.266,9946814.504
KARO,288128.449,9944353.089
KBGT,298395.114,9937772.879
KBR,310460.772,9946635.982
KDC,310121,9926608.39
KHC,294436.743,9928236.675
KIAN,316371.073,9945638.221
KPPI,299793.397,9932189.717
KPS,307013.79,9926896.915
KRG,308667.34,9944043.434
KRIO,300172.248,9946448.993
KRTU,293204.215,9957401.316
MAKA,311527.85,9917164.324
MARU,282469.528,9949971.995
MIHU,286370.773,9937402.436
MIIR,295483.915,9947011.877
MKN,307989.409,9916181.419
MTU,304964.896,9943115.698
MUTI,313257.693,9919808.675
MWDC,287020.524,9947845.819
NDUN,286078.582,9959173.219
NGO,306791.554,9920774.34
NGOR,284060.979,9939534.313
NYAN,317197.678,9933838.208
RWAM,316584.935,9941842.083
SAMS,317863.541,9938775.16
SUP,300055.413,9927071.049
WANG,318861.489,9923765.066
